小关卡id	小关卡标题	小关卡对话	每日最多	前置完成关卡	等级限制	每次扣除体力	武魂	铜钱奖励	未过回复次数	奖励道具	士兵分布图	主将ID	主将等级	主将阶级	副将1ID	副将1等级	副将1阶级	副将2ID	副将2等级	副将2阶级	步兵1ID	步兵1等级	骑兵2ID	骑兵2等级	弓兵3ID	弓兵3等级	士兵数量等级	特殊增益比例	精英副本增益比例	未过返还体力	主角经验Exp	公会掉落	空行
11	제1관	11	99	1,10	1,999	5	23	200	1	11,1,1,100,1,24,1,1,80,1,28,4,1,50,1,43,4,1,35,1,24,1,1,100,2,46,5,1,25,2,36,4,1,25,2,4,4,1,30,2,28,4,1,100,2,43,4,1,35,2	02-01.tmx	1000008	44 	2 	1000011	44 	2	1000012	44	2	1101	1	2101	1	3101	1	1 	0	0.3	5	410		
12	제2관	0	99	2,1	1,999	5	23	210	1	12,1,1,100,1,25,1,1,80,1,12,4,1,50,1,43,4,1,35,1,25,1,1,100,2,46,5,1,25,2,36,4,1,25,2,4,4,1,30,2,12,4,1,100,2,43,4,1,35,2	02-02.tmx	1000011	44 	2 	1000012	44 	2	1000013	44	2	1101	1	2101	1	3101	1	1 	0	0.3	5	420		
13	제3관	12	99	2,2	1,999	5	23	220	1	12,1,1,100,1,26,1,1,80,1,29,4,1,50,1,43,4,1,35,1,26,1,1,100,2,46,5,1,25,2,36,4,1,25,2,4,4,1,30,2,29,4,1,100,2,43,4,1,35,2	02-03.tmx	1090008	36 	2 	1000013	36 	2	1000001	36	2	1101	1	2101	1	3101	1	1 	0	0.3	5	430		
14	제4관	0	99	2,3	1,999	5	23	230	1	1,1,1,100,1,27,1,1,80,1,28,4,1,50,1,43,4,1,35,1,27,1,1,100,2,46,5,1,25,2,36,4,1,25,2,4,4,1,30,2,28,4,1,100,2,43,4,1,35,2	02-04.tmx	1000005	37 	2 	1000001	37 	2	1000002	37	2	1101	1	2101	1	3101	1	1 	0	0.3	5	440		
15	제5관	14	99	2,4	1,999	5	23	240	1	2,1,1,100,1,28,1,1,80,1,12,4,1,50,1,43,4,1,35,1,28,1,1,100,2,46,5,1,25,2,36,4,1,25,2,4,4,1,30,2,12,4,1,100,2,43,4,1,35,2	02-05.tmx	1090009	57 	2 	1000002	57 	2	1000003	57	2	1101	1	2101	1	3101	1	1 	0	0.3	5	500		
16	제6관	0	99	2,5	1,999	5	23	250	1	3,1,1,100,1,29,1,1,80,1,29,4,1,50,1,43,4,1,35,1,29,1,1,100,2,46,5,1,25,2,36,4,1,25,2,4,4,1,30,2,29,4,1,100,2,43,4,1,35,2	02-06.tmx	1000001	61 	2 	1000003	61 	2	1000004	61	2	1101	2	2101	2	3101	2	1 	0	0.3	5	460		
17	제7관	15	99	2,6	1,999	5	23	260	1	4,1,1,100,1,30,1,1,80,1,28,4,1,50,1,43,4,1,35,1,30,1,1,100,2,46,5,1,25,2,36,4,1,25,2,4,4,1,30,2,28,4,1,100,2,43,4,1,35,2	02-07.tmx	1000007	45 	2 	1000004	45 	2	1000005	45	2	1101	2	2101	2	3101	2	1 	0	0.3	5	485		
18	제8관	0	99	2,7	1,999	5	23	270	1	5,1,1,100,1,31,1,1,80,1,12,4,1,50,1,43,4,1,35,1,31,1,1,100,2,46,5,1,25,2,36,4,1,25,2,4,4,1,30,2,12,4,1,100,2,43,4,1,35,2	02-08.tmx	1000002	52 	2 	1000005	52 	2	1000006	52	2	1101	2	2101	2	3101	2	1 	0	0.3	5	500		
19	제9관	16	99	2,8	1,999	5	23	280	1	6,1,1,100,1,14,1,1,80,1,29,4,1,50,1,43,4,1,35,1,14,1,1,100,2,46,5,1,25,2,36,4,1,25,2,4,4,1,30,2,29,4,1,100,2,43,4,1,35,2	02-09.tmx	1090010	61 	2 	1000006	61 	2	1000007	61	2	1101	2	2101	2	3101	2	1 	0	0.3	5	520		
20	제10관	17,18	99	2,9	1,999	5	23	290	1	7,1,1,100,1,15,1,1,80,1,28,4,1,50,1,43,4,1,35,1,15,1,1,100,2,46,5,1,25,2,36,4,1,25,2,4,4,1,30,2,28,4,1,100,2,43,4,1,35,2	02-10.tmx	1090011	53 	3 	1000007	53 	3	1000001	53	3	1101	3	2101	3	3101	3	1 	0	0.3	5	540		
21	제1관	19	99	2,10	1,999	5	26	300	1	8,1,1,100,1,16,1,1,80,1,12,4,1,50,1,43,4,1,35,1,16,1,1,100,2,67,5,1,25,2,37,4,1,25,2,4,4,1,30,2,12,4,1,100,2,43,4,1,35,2	03-01.tmx	1000014	57 	3 	1000014	57 	3	1000015	57	3	1101	3	2101	3	3101	3	1 	0	0.3	5	550		
22	제2관	20	99	3,1	1,999	5	26	310	1	9,1,1,100,1,17,1,1,80,1,29,4,1,50,1,43,4,1,35,1,17,1,1,100,2,67,5,1,25,2,37,4,1,25,2,4,4,1,30,2,29,4,1,100,2,43,4,1,35,2	03-02.tmx	1090012	46 	3 	1000015	46 	3	1000016	46	3	1101	3	2101	3	3101	3	11 	0	0.3	5	560		
23	제3관	0	99	3,2	1,999	5	26	320	1	10,1,1,100,1,18,1,1,80,1,28,4,1,50,1,43,4,1,35,1,18,1,1,100,2,67,5,1,25,2,37,4,1,25,2,4,4,1,30,2,28,4,1,100,2,43,4,1,35,2	03-03.tmx	1000031	39 	3 	1000016	39 	3	1000017	39	3	1101	3	2101	3	3101	3	11 	0	0.3	5	580		
24	제4관	0	99	3,3	1,999	5	26	330	1	11,1,1,100,1,19,1,1,80,1,12,4,1,50,1,43,4,1,35,1,19,1,1,100,2,67,5,1,25,2,37,4,1,25,2,4,4,1,30,2,12,4,1,100,2,43,4,1,35,2	03-04.tmx	1000029	39 	3 	1000017	39 	3	1000018	39	3	1101	3	2101	3	3101	3	11 	0	0.3	5	600		
25	제5관	21,22	99	3,4	1,999	5	26	340	1	12,1,1,100,1,20,1,1,80,1,29,4,1,50,1,43,4,1,35,1,20,1,1,100,2,67,5,1,25,2,37,4,1,25,2,4,4,1,30,2,29,4,1,100,2,43,4,1,35,2	03-05.tmx	1090012	45 	3 	1000018	45 	3	1000019	45	3	1101	3	2101	3	3101	3	11 	0	0.3	5	620		
26	제6관	0	99	3,5	1,999	5	26	350	1	13,1,1,100,1,21,1,1,80,1,28,4,1,50,1,43,4,1,35,1,21,1,1,100,2,67,5,1,25,2,37,4,1,25,2,4,4,1,30,2,28,4,1,100,2,43,4,1,35,2	03-06.tmx	1000014	60 	3 	1000019	60 	3	1000020	60	3	1101	4	2101	4	3101	4	11 	0	0.3	5	640		
27	제7관	23	99	3,6	1,999	5	26	360	1	1,1,1,100,1,22,1,1,80,1,12,4,1,50,1,43,4,1,35,1,22,1,1,100,2,67,5,1,25,2,37,4,1,25,2,4,4,1,30,2,12,4,1,100,2,43,4,1,35,2	03-07.tmx	1000019	54 	3 	1000020	54 	3	1000021	54	3	1101	4	2101	4	3101	4	11 	0	0.3	5	660		
28	제8관	0	99	3,7	1,999	5	26	370	1	1,1,1,100,1,23,1,1,80,1,29,4,1,50,1,43,4,1,35,1,23,1,1,100,2,67,5,1,25,2,37,4,1,25,2,4,4,1,30,2,29,4,1,100,2,43,4,1,35,2	03-08.tmx	1000024	53 	3 	1000021	53 	3	1000022	53	3	1101	4	2101	4	3101	4	11 	0	0.3	5	680		
29	제9관	24	99	3,8	1,999	5	26	380	1	3,1,1,100,1,24,1,1,80,1,28,4,1,50,1,43,4,1,35,1,24,1,1,100,2,67,5,1,25,2,37,4,1,25,2,4,4,1,30,2,28,4,1,100,2,43,4,1,35,2	03-09.tmx	1000028	56 	3 	1000022	56 	3	1000023	56	3	1101	4	2101	4	3101	4	11 	0	0.3	5	700		
30	제10관	25,26	99	3,9	1,999	5	26	390	1	4,1,1,100,1,25,1,1,80,1,12,4,1,50,1,43,4,1,35,1,25,1,1,100,2,67,5,1,25,2,37,4,1,25,2,4,4,1,30,2,12,4,1,100,2,43,4,1,35,2	03-10.tmx	1000042	33 	4 	1000023	33 	4	1000024	33	4	1101	4	2101	4	3101	4	11 	0	0.3	5	720		
31	제1관	27	99	3,10	1,999	5	29	400	1	5,1,1,100,1,26,1,1,80,1,29,4,1,50,1,43,4,1,35,1,26,1,1,100,2,52,5,1,25,2,37,4,1,25,2,4,4,1,30,2,29,4,1,100,2,43,4,1,35,2	04-01.tmx	1000022	53 	4 	1000024	53 	4	1000025	53	4	1101	4	2101	4	3101	4	20 	0	0.3	5	740		
32	제2관	0	99	4,1	1,999	5	29	410	1	6,1,1,100,1,27,1,1,80,1,28,4,1,50,1,43,4,1,35,1,27,1,1,100,2,52,5,1,25,2,37,4,1,25,2,4,4,1,30,2,28,4,1,100,2,43,4,1,35,2	04-02.tmx	1000019	57 	4 	1000025	57 	4	1000026	57	4	1101	4	2101	4	3101	4	20 	0	0.3	5	760		
33	제3관	28	99	4,2	1,999	5	29	420	1	7,1,1,100,1,28,1,1,80,1,12,4,1,50,1,43,4,1,35,1,28,1,1,100,2,52,5,1,25,2,37,4,1,25,2,4,4,1,30,2,12,4,1,100,2,43,4,1,35,2	04-03.tmx	1000032	52 	4 	1000026	52 	4	1000027	52	4	1101	4	2101	4	3101	4	20 	0	0.3	5	780		
34	제4관	0	99	4,3	1,999	5	29	430	1	8,1,1,100,1,29,1,1,80,1,29,4,1,50,1,43,4,1,35,1,29,1,1,100,2,52,5,1,25,2,37,4,1,25,2,4,4,1,30,2,29,4,1,100,2,43,4,1,35,2	04-04.tmx	1000023	69 	4 	1000027	69 	4	1000028	69	4	1101	4	2101	4	3101	4	20 	0	0.3	5	800		
35	제5관	29,30	99	4,4	1,999	5	29	440	1	9,1,1,100,1,30,1,1,80,1,28,4,1,50,1,43,4,1,35,1,30,1,1,100,2,52,5,1,25,2,37,4,1,25,2,4,4,1,30,2,28,4,1,100,2,43,4,1,35,2	04-05.tmx	1000032	58 	4 	1000028	58 	4	1000029	58	4	1101	4	2101	4	3101	4	20 	0	0.3	5	820		
36	제6관	0	99	4,5	1,999	5	29	450	1	10,1,1,100,1,31,1,1,80,1,12,4,1,50,1,43,4,1,35,1,31,1,1,100,2,52,5,1,25,2,37,4,1,25,2,4,4,1,30,2,12,4,1,100,2,43,4,1,35,2	04-06.tmx	1000018	64 	4 	1000029	64 	4	1000030	64	4	1101	5	2101	5	3101	5	20 	0	0.3	5	840		
37	제7관	31,32	99	4,6	1,999	5	29	460	1	11,1,1,100,1,14,1,1,80,1,29,4,1,50,1,43,4,1,35,1,14,1,1,100,2,52,5,1,25,2,37,4,1,25,2,4,4,1,30,2,29,4,1,100,2,43,4,1,35,2	04-07.tmx	1000032	61 	4 	1000030	61 	4	1000031	61	4	1101	5	2101	5	3101	5	20 	0	0.3	5	860		
38	제8관	0	99	4,7	1,999	5	29	470	1	12,1,1,100,1,15,1,1,80,1,28,4,1,50,1,43,4,1,35,1,15,1,1,100,2,52,5,1,25,2,37,4,1,25,2,4,4,1,30,2,28,4,1,100,2,43,4,1,35,2	04-08.tmx	1000024	85 	4 	1000031	85 	4	1000014	85	4	1101	5	2101	5	3101	5	20 	0	0.3	5	880		
39	제9관	33	99	4,8	1,999	5	29	480	1	13,1,1,100,1,16,1,1,80,1,12,4,1,50,1,43,4,1,35,1,16,1,1,100,2,52,5,1,25,2,37,4,1,25,2,4,4,1,30,2,12,4,1,100,2,43,4,1,35,2	04-09.tmx	1000021	95 	4 	1000014	95 	4	1000015	95	4	1101	5	2101	5	3101	5	20 	0	0.3	5	900		
40	제10관	34,35	99	4,9	1,999	5	29	490	1	1,1,1,100,1,17,1,1,80,1,29,4,1,50,1,43,4,1,35,1,17,1,1,100,2,52,5,1,25,2,37,4,1,25,2,4,4,1,30,2,29,4,1,100,2,43,4,1,35,2	04-10.tmx	1000085	47 	5 	1000015	47 	5	1000014	47	5	1101	5	2101	5	3101	5	20 	0	0.3	5	920		
41	제1관	36	99	4,10	1,999	5	32	500	1	2,1,1,100,1,18,1,1,80,1,28,4,1,50,1,43,4,1,35,1,18,1,1,100,2,57,5,1,25,2,37,4,1,25,2,4,4,1,30,2,28,4,1,100,2,43,4,1,35,2	05-01.tmx	1000034	51 	5 	1000032	51 	5	1000033	51	5	1101	5	2101	5	3101	5	20 	0	0.3	5	940		
42	제2관	0	99	5,1	1,999	5	32	510	1	3,1,1,100,1,19,1,1,80,1,12,4,1,50,1,43,4,1,35,1,19,1,1,100,2,57,5,1,25,2,37,4,1,25,2,4,4,1,30,2,12,4,1,100,2,43,4,1,35,2	05-02.tmx	1000034	53 	5 	1000033	53 	5	1000035	53	5	1101	5	2101	5	3101	5	20 	0	0.3	5	960		
43	제3관	37	99	5,2	1,999	5	32	520	1	4,1,1,100,1,20,1,1,80,1,29,4,1,50,1,43,4,1,35,1,20,1,1,100,2,57,5,1,25,2,37,4,1,25,2,4,4,1,30,2,29,4,1,100,2,43,4,1,35,2	05-03.tmx	1000057	40 	6 	1000034	40 	6	1000035	40	6	1101	5	2101	5	3101	5	20 	0	0.3	5	980		
44	제4관	0	99	5,3	1,999	5	32	530	1	5,1,1,100,1,21,1,1,80,1,28,4,1,50,1,43,4,1,35,1,21,1,1,100,2,57,5,1,25,2,37,4,1,25,2,4,4,1,30,2,28,4,1,100,2,43,4,1,35,2	05-04.tmx	1000040	40 	6 	1000035	40 	6	1000036	40	6	1101	6	2101	6	3101	6	20 	0	0.3	5	1005		
45	제5관	38,39	99	5,4	1,999	5	32	540	1	6,1,1,100,1,22,1,1,80,1,12,4,1,50,1,43,4,1,35,1,22,1,1,100,2,57,5,1,25,2,37,4,1,25,2,4,4,1,30,2,12,4,1,100,2,43,4,1,35,2	05-05.tmx	1000057	38 	6 	1000036	38 	6	1000037	38	6	1101	6	2101	6	3101	6	20 	0	0.3	5	1040		
46	제6관	40	99	5,5	1,999	5	32	550	1	7,1,1,100,1,23,1,1,80,1,29,4,1,50,1,43,4,1,35,1,23,1,1,100,2,57,5,1,25,2,37,4,1,25,2,4,4,1,30,2,29,4,1,100,2,43,4,1,35,2	05-06.tmx	1090012	57 	6 	1000037	57 	6	1000038	57	6	1101	6	2101	6	3101	6	20 	0	0.3	5	1075		
47	제7관	0	99	5,6	1,999	5	32	560	1	8,1,1,100,1,24,1,1,80,1,28,4,1,50,1,43,4,1,35,1,24,1,1,100,2,57,5,1,25,2,37,4,1,25,2,4,4,1,30,2,28,4,1,100,2,43,4,1,35,2	05-07.tmx	1000033	57 	6 	1000038	57 	6	1000039	57	6	1101	6	2101	6	3101	6	20 	0	0.3	5	1110		
48	제8관	41	99	5,7	1,999	5	32	570	1	9,1,1,100,1,25,1,1,80,1,12,4,1,50,1,43,4,1,35,1,25,1,1,100,2,57,5,1,25,2,37,4,1,25,2,4,4,1,30,2,12,4,1,100,2,43,4,1,35,2	05-08.tmx	1000037	46 	6 	1000039	46 	6	1000040	46	6	1101	6	2101	6	3101	6	20 	0	0.3	5	1145		
49	제9관	0	99	5,8	1,999	5	32	580	1	10,1,1,100,1,26,1,1,80,1,29,4,1,50,1,43,4,1,35,1,26,1,1,100,2,57,5,1,25,2,37,4,1,25,2,4,4,1,30,2,29,4,1,100,2,43,4,1,35,2	05-09.tmx	1000034	43 	6 	1000040	43 	6	1000041	43	6	1101	6	2101	6	3101	6	20 	0	0.3	5	1180		
50	제10관	42,43	99	5,9	1,999	5	32	590	1	11,1,1,100,1,27,1,1,80,1,28,4,1,50,1,43,4,1,35,1,27,1,1,100,2,57,5,1,25,2,37,4,1,25,2,4,4,1,30,2,28,4,1,100,2,43,4,1,35,2	05-10.tmx	1000088	35 	6 	1000041	35 	6	1000042	35	6	1101	7	2101	7	3101	7	20 	0	0.3	5	1215		
51	제1관	44	99	5,10	1,999	5	35	600	1	11,1,1,100,1,28,1,1,80,1,12,4,1,50,1,43,4,1,35,1,28,1,1,100,2,89,5,1,30,2,37,4,1,25,2,4,4,1,30,2,12,4,1,100,2,43,4,1,35,2	06-01.tmx	1000034	46 	7 	1000042	46 	7	1000043	46	7	1101	7	2101	7	3101	7	20 	0	0.3	5	1250		
52	제2관	45	99	6,1	1,999	5	35	610	1	13,1,1,100,1,29,1,1,80,1,29,4,1,50,1,43,4,1,35,1,29,1,1,100,2,89,5,1,30,2,37,4,1,25,2,4,4,1,30,2,29,4,1,100,2,43,4,1,35,2	06-02.tmx	1000039	43 	7 	1000043	43 	7	1000044	43	7	1101	7	2101	7	3101	7	20 	0	0.3	5	1285		
53	제3관	0	99	6,2	1,999	5	35	620	1	1,1,1,100,1,30,1,1,80,1,28,4,1,50,1,43,4,1,35,1,30,1,1,100,2,89,5,1,30,2,37,4,1,25,2,4,4,1,30,2,28,4,1,100,2,43,4,1,35,2	06-03.tmx	1000033	47 	7 	1000044	47 	7	1000045	47	7	1101	7	2101	7	3101	7	20 	0	0.3	5	1320		
54	제4관	0	99	6,3	1,999	5	35	630	1	2,1,1,100,1,31,1,1,80,1,12,4,1,50,1,43,4,1,35,1,31,1,1,100,2,89,5,1,30,2,37,4,1,25,2,4,4,1,30,2,12,4,1,100,2,43,4,1,35,2	06-04.tmx	1000032	51 	7 	1000045	51 	7	1000046	51	7	1101	7	2101	7	3101	7	20 	0	0.3	5	1355		
55	제5관	46,47	99	6,4	1,999	5	35	640	1	3,1,1,100,1,14,1,1,80,1,29,4,1,50,1,43,4,1,35,1,14,1,1,100,2,89,5,1,30,2,37,4,1,25,2,4,4,1,30,2,29,4,1,100,2,43,4,1,35,2	06-05.tmx	1000040	54 	7 	1000046	54 	7	1000032	54	7	1101	7	2101	7	3101	7	20 	0	0.3	5	1390		
56	제6관	0	99	6,5	1,999	5	35	650	1	4,1,1,100,1,15,1,1,80,1,28,4,1,50,1,43,4,1,35,1,15,1,1,100,2,89,5,1,30,2,37,4,1,25,2,4,4,1,30,2,28,4,1,100,2,43,4,1,35,2	06-06.tmx	1000040	66 	7 	1000032	66 	7	1000033	66	7	1101	8	2101	8	3101	8	20 	0	0.3	5	1425		
57	제7관	48	99	6,6	1,999	5	35	660	1	5,1,1,100,1,16,1,1,80,1,12,4,1,50,1,43,4,1,35,1,16,1,1,100,2,89,5,1,30,2,37,4,1,25,2,4,4,1,30,2,12,4,1,100,2,43,4,1,35,2	06-07.tmx	1000037	71 	7 	1000033	71 	7	1000034	71	7	1101	8	2101	8	3101	8	20 	0	0.3	5	1460		
58	제8관	0	99	6,7	1,999	5	35	670	1	6,1,1,100,1,17,1,1,80,1,29,4,1,50,1,43,4,1,35,1,17,1,1,100,2,89,5,1,30,2,37,4,1,25,2,4,4,1,30,2,29,4,1,100,2,43,4,1,35,2	06-08.tmx	1000039	76 	7 	1000034	76 	7	1000035	76	7	1101	8	2101	8	3101	8	20 	0	0.3	5	1495		
59	제9관	49	99	6,8	1,999	5	35	680	1	7,1,1,100,1,18,1,1,80,1,28,4,1,50,1,43,4,1,35,1,18,1,1,100,2,89,5,1,30,2,37,4,1,25,2,4,4,1,30,2,28,4,1,100,2,43,4,1,35,2	06-09.tmx	1000040	59 	8 	1000035	59 	8	1000036	59	8	1101	8	2101	8	3101	8	20 	0	0.3	5	1530		
60	제10관	50,51	99	6,9	1,999	5	35	690	1	8,1,1,100,1,19,1,1,80,1,12,4,1,50,1,43,4,1,35,1,19,1,1,100,2,89,5,1,30,2,37,4,1,25,2,4,4,1,30,2,12,4,1,100,2,43,4,1,35,2	06-10.tmx	1090013	74 	8 	1000036	74 	8	1000037	74	8	1101	8	2101	8	3101	8	20 	0	0.3	5	1565		
61	제1관	52	99	6,10	1,999	5	38	700	1	8,1,1,100,1,20,1,1,80,1,29,4,1,50,1,43,4,1,35,1,20,1,1,100,2,102,5,1,30,2,37,4,1,25,2,4,4,1,30,2,29,4,1,100,2,43,4,1,35,2	07-01.tmx	1000040	57 	8 	1000037	57 	8	1000038	57	8	1101	8	2101	8	3101	8	20 	0	0.3	5	1600	95,1,1,40,100,1,1,40,76,1,1,40,42,4,1,50,47,4,10,80	
62	제2관	0	99	7,1	1,999	5	38	710	1	9,1,1,100,1,21,1,1,80,1,28,4,1,50,1,43,4,1,35,1,21,1,1,100,2,102,5,1,30,2,37,4,1,25,2,4,4,1,30,2,28,4,1,100,2,43,4,1,35,2	07-02.tmx	1000035	75 	8 	1000038	75 	8	1000039	75	8	1101	9	2101	9	3101	9	20 	0	0.3	5	1635	95,1,1,40,100,1,1,40,76,1,1,40,42,4,1,50,47,4,10,80	
63	제3관	53	99	7,2	1,999	5	38	720	1	11,1,1,100,1,22,1,1,80,1,12,4,1,50,1,43,4,1,35,1,22,1,1,100,2,102,5,1,30,2,37,4,1,25,2,4,4,1,30,2,12,4,1,100,2,43,4,1,35,2	07-03.tmx	1000038	65 	8 	1000039	65 	8	1000040	65	8	1101	9	2101	9	3101	9	20 	0	0.3	5	1670	95,1,1,40,100,1,1,40,76,1,1,40,42,4,1,50,48,4,10,50	
64	제4관	54	99	7,3	1,999	5	38	730	1	12,1,1,100,1,23,1,1,80,1,29,4,1,50,1,43,4,1,35,1,23,1,1,100,2,102,5,1,30,2,37,4,1,25,2,4,4,1,30,2,29,4,1,100,2,43,4,1,35,2	07-04.tmx	1000048	53 	8 	1000040	53 	8	1000041	53	8	1101	9	2101	9	3101	9	20 	0	0.3	5	1705	95,1,1,40,100,1,1,40,76,1,1,40,42,4,1,50,48,4,10,50	
65	제5관	55,56	99	7,4	1,999	5	38	740	1	12,1,1,100,1,24,1,1,80,1,28,4,1,50,1,43,4,1,35,1,24,1,1,100,2,102,5,1,30,2,37,4,1,25,2,4,4,1,30,2,28,4,1,100,2,43,4,1,35,2	07-05.tmx	1000040	54 	8 	1000041	54 	8	1000042	54	8	1101	9	2101	9	3101	9	20 	0	0.3	5	1740	95,1,1,40,100,1,1,40,76,1,1,40,42,4,1,50,38,4,1,80	
66	제6관	57	99	7,5	1,999	5	38	750	1	1,1,1,100,1,25,1,1,80,1,12,4,1,50,1,43,4,1,35,1,25,1,1,100,2,102,5,1,30,2,37,4,1,25,2,4,4,1,30,2,12,4,1,100,2,43,4,1,35,2	07-06.tmx	1000037	61 	8 	1000042	61 	8	1000043	61	8	1101	9	2101	9	3101	9	20 	0	0.3	5	1775	95,1,1,40,100,1,1,40,76,1,1,40,42,4,1,50,50,4,5,50	
67	제7관	0	99	7,6	1,999	5	38	760	1	2,1,1,100,1,26,1,1,80,1,29,4,1,50,1,43,4,1,35,1,26,1,1,100,2,102,5,1,30,2,37,4,1,25,2,4,4,1,30,2,29,4,1,100,2,43,4,1,35,2	07-07.tmx	1000038	56 	9 	1000043	56 	9	1000044	56	9	1101	9	2101	9	3101	9	20 	0	0.3	5	1810	95,1,1,40,100,1,1,40,76,1,1,40,42,4,1,50,50,4,5,50	
68	제8관	58	99	7,7	1,999	5	38	770	1	3,1,1,100,1,27,1,1,80,1,28,4,1,50,1,43,4,1,35,1,27,1,1,100,2,102,5,1,30,2,37,4,1,25,2,4,4,1,30,2,28,4,1,100,2,43,4,1,35,2	07-08.tmx	1000036	56 	9 	1000044	56 	9	1000045	56	9	1101	10	2101	10	3101	10	20 	0	0.3	5	1845	95,1,1,40,100,1,1,40,76,1,1,40,42,4,1,50,49,4,5,50	
69	제9관	59	99	7,8	1,999	5	38	780	1	4,1,1,100,1,28,1,1,80,1,12,4,1,50,1,43,4,1,35,1,28,1,1,100,2,102,5,1,30,2,37,4,1,25,2,4,4,1,30,2,12,4,1,100,2,43,4,1,35,2	07-09.tmx	1000036	61 	9 	1000045	61 	9	1000046	61	9	1101	10	2101	10	3101	10	20 	0	0.3	5	1880	95,1,1,40,100,1,1,40,76,1,1,40,42,4,1,50,49,4,5,50	
